sno,Source.Name,P1,P2,P3,P4,C1,C2,C3,C4,DeltaTimeS12,Year,YearF,Year5,Deacades,Twos,Threes,4 Years
91,090125_D195Cue 09 Nisaetus cirrhatus Rajaji NP Uttarakhand P-humei background_6.Table.2.selections_4splits.txt,5081.836,4823.438,4909.57,5081.836,5081.836,4909.57,4306.641,4995.703,0.0562,2009,2009,F6,D3,Tw14,T10,IV07
92,090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9.Table.2.selections_4splits.txt,5081.836,5254.102,3703.711,6029.297,5081.836,5167.969,3875.977,4651.172,0.0505,2009,2009,F6,D3,Tw14,T10,IV07
93,090402_D195Cue 33 Phylloscopus humei+tytleri Dhanaulti Uttarakhand_9.Table.5.selections_4splits.txt,5770.898,4995.703,3962.109,4134.375,5770.898,4995.703,3703.711,5081.836,0.0553,2009,2009,F6,D3,Tw14,T10,IV07
94,090403_D195Cue 45 Phylloscopus occipitalis Dhanaulti Uttarakhand P-humei background_10.Table.2.selections_4splits.txt,4995.703,4478.906,3789.844,4478.906,4995.703,4392.773,3703.711,4651.172,0.0677,2009,2009,F6,D3,Tw14,T10,IV07
95,090403_D195Cue 45 Phylloscopus occipitalis Dhanaulti Uttarakhand P-humei background_10.Table.5.selections_4splits.txt,5340.234,4478.906,3789.844,5081.836,5081.836,4478.906,3531.445,4737.305,0.0667,2009,2009,F6,D3,Tw14,T10,IV07
96,"091221_AV2817_Phylloscopus+humei_IN_1_2-16_C Sattal, Uttarakhand PCRasmussen.Table.2.selections_4splits.txt",5343.75,4968.75,5156.25,4500,5343.75,4968.75,5156.25,5250,0.0565,2009,2009,F6,D3,Tw14,T10,IV07
97,100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4.Table.2.selections_4splits.txt,4565.039,4565.039,3789.844,6115.43,4737.305,4565.039,3789.844,5340.234,0.0661,2010,2010,F6,D3,Tw15,T10,IV08
98,100215_07 Phylloscopus humei U SOOR SAROVAR AGRA UP_4.Table.5.selections_4splits.txt,4737.305,4651.172,3789.844,5340.234,5081.836,4651.172,3789.844,5598.633,0.0612,2010,2010,F6,D3,Tw15,T10,IV08
99,100215_10 U Phylloscopus humei SOOR SAROVAR AGRA UP_5.Table.2.selections_4splits.txt,5426.367,5167.969,5340.234,5254.102,5684.766,5167.969,5254.102,5254.102,0.0585,2010,2010,F6,D3,Tw15,T10,IV08
100,100215_10 U Phylloscopus humei SOOR SAROVAR AGRA UP_5.Table.5.selections_4splits.txt,5426.367,5254.102,5254.102,5254.102,5598.633,5167.969,5167.969,5254.102,0.0556,2010,2010,F6,D3,Tw15,T10,IV08
